barra_codigo,barra_nombre,region
CABRERO_______066,BA S/E CABRERO 66KV,Desconocida
CACHAPOAL_____013,BA S/E CACHAPOAL 15KV C1,Desconocida
CACHAPOAL_____066,BA S/E CACHAPOAL 15KV C2,Desconocida
CACHIYUYAL____220,BA S/E CACHIYUYAL 220KV BP,Desconocida
CAHUIZA_______220,BA S/E CAHUIZA 220kV BP1 [EN_REVISION],Desconocida
CAITAN________066,BA S/E CAITAN B1 66KV,Desconocida
CAITAN________220,,Desconocida
CALAMA________023,BA S/E CALAMA 23 kV BP1-S1,Antofagasta
CALAMA________110,BA S/E CALAMA 110 kV BP1,Antofagasta
CALAMA________220,BA S/E CALAMA NUEVA 220kV BP1,Antofagasta
CALBUCO_______013,BA S/E CALBUCO 23KV,Desconocida
CALBUCO_______110,BA S/E CALBUCO 110KV BP1,Desconocida
CALDERA_______013,BA S/E CALDERA 23KV B1,Desconocida
CALDERA_______110,BA S/E CALDERA 110KV BP1 [No_Mostrar],Desconocida
CALERA.C______062,BA S/E CALERA CENTRO 62KV,Desconocida
CALEU_________013,BA S/E CALEU 12KV BP1,Desconocida
CALEU_________044,BA S/E CALEU 44KV BP1,Desconocida
CALICHE_______220,BA S/E CALICHE 220kV B1 [En_Revision],Desconocida
CALLAO________023,BA S/E CENTRAL CALLAO 23KV BP1,Desconocida
CAMPO_LINDO1__033,BA S/E CAMPO LINDO 33KV BP1,Desconocida
CAMPO_LINDO2__033,BA S/E CAMPO LINDO 33KV BP2,Desconocida
CAMPO_LINDO___220,,Desconocida
CANAL_MELADO__110,,Desconocida
CANAL_MELADO__220,BA S/E CANAL MELADO 220KV BP1,Desconocida
CANCURA_______066,BA S/E SECCIONADORA CANCURA 66kV BT1 [EN_REVISION],Desconocida
CANDELARIA2___220,BA S/E CANDELARIA 220KV BP2,Desconocida
CANDELARIA____220,BA S/E CANDELARIA 220KV BP1,Desconocida
CANETE________023,BA S/E CANETE 23KV B.PRINCIPAL,Desconocida
CANETE________066,BA S/E CANETE 66KV,Desconocida
CANTERAS______023,BA S/E LAS CANTERAS 23KV BP1,Desconocida
