osm_id,osm_type,nombre,amenity,healthcare,lat,lon
4111980611,node,Hospital Zonal Luis Pasteur - Chepes,hospital,hospital,-31.3369636,-66.5928953
4112172101,node,Hospital Distrital Santa Rita De Catuna,hospital,hospital,-30.9493469,-66.2206082
4127962216,node,Caja Nacional de Salud Sacaba,hospital,,-17.4021135,-66.0446756
4129582490,node,Hospital Sanitario Zonal Dr. Jose Chain Herrera De Andalgala,hospital,hospital,-27.5882731,-66.3173645
4166631889,node,Base de Emergencias V-Facundo Quiroga,hospital,hospital,-29.3936966,-66.8464554
4166632177,node,Base de Emergencias III - Rucci,hospital,hospital,-29.4126349,-66.8864125
4167760252,node,Sin nombre,hospital,hospital,-32.8473859,-68.7149821
4179332305,node,Centro de salud Municipal,hospital,hospital,-34.6092632,-68.3237623
4197093489,node,Sin nombre,hospital,hospital,-33.7320889,-69.1268041
4211069608,node,Centro de Salud Municipal N° 1 Fuchs,hospital,hospital,-32.9459839,-68.8590628
4211586917,node,Centro de salud Pascual Lauriente,hospital,hospital,-32.91754,-68.7436473
4214586854,node,Hospital Zonal Esquel,hospital,hospital,-42.9179155,-71.3157473
4218151086,node,Consultorios médicos privados,hospital,hospital,-32.9444689,-68.8058253
4218387469,node,F. María de la Salid II,hospital,hospital,-31.3401183,-66.5796381
4226119994,node,Sala de Primeros Auxilios,hospital,hospital,-34.5699098,-68.0679248
4242177664,node,Cardiologia Infantil,hospital,hospital,-32.8909195,-68.8496493
4317695389,node,Hospital Traumatológico de Concepción,hospital,,-36.8239738,-73.0378313
4329445791,node,Hospital Dr. Luis Chrabalowski,hospital,hospital,-32.5939218,-69.3468606
4331322789,node,Policlinica,hospital,,-17.9571224,-67.1070847
4356203975,node,Hospital Doctor Domingo Sicoli,hospital,hospital,-32.7217363,-68.5877413
4357798893,node,Sala de primeros Auxilios,hospital,hospital,-32.6784044,-68.631605
4367587394,node,Instituto de Traumatología,clinic,hospital,-31.5356255,-68.5292775
4372991549,node,"Centro de Salud N° 320 ""Dr. Alberto Castellanos""",hospital,hospital,-34.6627576,-68.3562257
4375151695,node,sala de primeros auxilios,hospital,hospital,-29.1991523,-67.4626976
4375151696,node,sala de primeros auxilios,hospital,hospital,-29.1939449,-67.4639421
4376693536,node,Hospital Rural Epuyén,hospital,hospital,-42.2290009,-71.3721758
4377405882,node,"Centro de Salud Nº 25 ""Monteavaro""",hospital,hospital,-32.8642866,-68.8129166
4379507939,node,Centro de Salud,hospital,hospital,-33.5110082,-69.1354204
4386473389,node,Hospital del Oeste. Dr. Atilio Luccini,hospital,hospital,-33.3095989,-66.3612424
4397221694,node,Hospital De Area Alumine,hospital,hospital,-39.2354921,-70.9131734
4424116969,node,Centro de Salud de El Bosque,hospital,,-31.4433303,-68.2831491
4446310791,node,Ctro. de Salud de Casa de Piedra,hospital,hospital,-38.155301,-67.1493437
4452147100,node,Hospital El Sauce - Guardia,hospital,hospital,-32.8626947,-68.7430622
4456535594,node,Clínica San Fernando,hospital,hospital,-41.1382998,-71.3125211
4459918591,node,Sin nombre,hospital,hospital,-38.7355202,-68.1707377
4473457126,node,salita de primeros auxilios Fenton,hospital,hospital,-51.6082929,-69.2482282
4476496660,node,Sin nombre,hospital,hospital,-33.2247613,-68.3257054
4477444829,node,Hospital Distrital Ramon Linidor Martinez - Vinchina,hospital,hospital,-28.7516518,-68.2049749
4479951733,node,Centro de Salud BªLa Esperanza,hospital,hospital,-38.9483638,-68.2613782
4486027414,node,Sin nombre,hospital,hospital,-32.9563917,-69.1961604
4515200798,node,Hospital Geriátrico Dr. Héctor Elías Gailhac,hospital,hospital,-32.8427392,-68.773486
4590076090,node,C.S. San Juan del Rosario,hospital,hospital,-20.900836,-67.7652205
4635439595,node,Centro de Salud Rumy Campana,hospital,hospital,-17.950578,-67.1252025
4635439619,node,Hospital Centro de Salud Sebastian Pagador de Policias,hospital,hospital,-17.9372094,-67.1160682
4661190224,node,P.S. Urmiri de Quillacas,hospital,hospital,-19.2274381,-66.7205666
4674877588,node,Centro de Salud Lahuachaca,hospital,hospital,-17.3764918,-67.6763248
4674939463,node,C.S.I. Konani,hospital,hospital,-17.4390326,-67.5185227
4674944244,node,PS Panduro (1er Nivel),hospital,hospital,-17.4957512,-67.4428908
4698164295,node,"Centro de Rehabilitación ""Mamá Margarita""",hospital,hospital,-53.7884467,-67.7177828
4699962890,node,Centro de Salud N 14 - Pedro Molina,hospital,hospital,-32.8876258,-68.7930476
4745198011,node,Sala de Salud Tierritas,hospital,,-31.3678828,-68.4400474
4790144723,node,Hospital San José Obrero,hospital,hospital,-17.36093,-66.284298
4806754628,node,CESFAM Pelequén,clinic,hospital,-34.4613779,-70.8943886
4815874433,node,ACHS,clinic,hospital,-33.4868472,-70.6479945
4827565221,node,CSI Escara,hospital,hospital,-18.8579575,-68.1705665
4888646421,node,Puesto sanitario,hospital,hospital,-47.5649309,-71.7434698
4965335916,node,Hospital Materno Infantil Germán Urquidi,hospital,hospital,-17.3864666,-66.1483846
4974170125,node,Sala de Primeros Auxilios de Chuquis,hospital,hospital,-28.8909464,-66.9724683
5025207121,node,C.S. Tolar,hospital,hospital,-17.0073202,-68.0646565
5029651921,node,C.S. Sica Sica (1er Nivel),hospital,hospital,-17.3353567,-67.7430795
5029651923,node,Centro de Salud Lahuachaca,hospital,hospital,-17.3723596,-67.6785038
5029651924,node,Sin nombre,hospital,hospital,-17.3863783,-67.6415509
5031308123,node,Sin nombre,hospital,hospital,-18.3802519,-66.9689989
5033274123,node,P.S. Pazña (1er Nivel),hospital,hospital,-18.5964013,-66.9197554
5046394723,node,Clínica Los Alamos,hospital,hospital,-53.7700555,-67.7087333
5046907522,node,Centro de Salud San Juan del Rosario,hospital,hospital,-20.9014092,-67.7651706
5054115821,node,CENTRO DE SALUD,hospital,,-32.5757349,-68.2699675
5107299358,node,Guardia del Hospital,hospital,hospital,-42.9184752,-71.315783
5107299361,node,Hospital Zonal de Esquel,hospital,hospital,-42.9184163,-71.3166413
5131559952,node,C.S.C.I. de Turco,hospital,hospital,-18.1804979,-68.1936733
5178241660,node,CECOSF Lagunillas,doctors,hospital,-36.9785909,-73.158905
5178241664,node,Posta de Salud Rural Puerto Norte,doctors,hospital,-36.9761781,-73.5285416
5178241665,node,Posta Rural Patagual,doctors,hospital,-37.0110332,-73.0004796
5187401969,node,"Centro de salud ""Barrio Valdivielso""",hospital,hospital,-29.315698,-68.2099683
5213416586,node,Posta de Salud Rural Rucapequén,doctors,hospital,-36.6713468,-72.2797326
5214792108,node,Hospital Buta Ranquil,hospital,hospital,-37.0455534,-69.880078
5223189601,node,C.S.I. Tablachaca (1er Nivel),hospital,hospital,-17.1765292,-67.3380622
5223558429,node,C.S.A. Ulloma Lerco,hospital,hospital,-17.4903242,-68.4891454
5225230621,node,Hospital Materno Infantil Oruro (2do Nivel),hospital,hospital,-17.9601247,-67.1100388
5266101809,node,CAPS Los Overos,hospital,,-35.8815596,-66.4453654
5311210002,node,Puesto de Salud Villa Mar (1er Nivel),hospital,hospital,-21.7553364,-67.4817772
5312182112,node,P.S. Quetena Grande,hospital,hospital,-22.2295538,-67.3578384
5353339449,node,Emergencias,,hospital,-17.3866859,-66.1489138
5390686460,node,Hospital Rural Paso De Indios,hospital,hospital,-43.8637831,-69.0479448
5398419344,node,Unidad de Diagnostico Intensivo,hospital,hospital,-32.8612968,-68.6687035
5413479538,node,Hospital de Aconquija,hospital,hospital,-27.4739743,-66.0145749
5415597156,node,P.S. Real Machacamarca,hospital,hospital,-18.7512201,-67.689548
5416661746,node,P.S. Villa Copacabana,hospital,hospital,-18.3357367,-67.5854804
5418829558,node,C.S. Acasio,hospital,hospital,-18.0241762,-66.0586907
5418843358,node,P.S. Piriquina (1er Nivel),hospital,hospital,-18.0792313,-66.0166096
