IdAccident,Diames,Diasemana,Mes,Año,Hora_aprox,Comuna,CUT_REG,CUT_COM,REGION_DPA,COMUNA_DPA,Lat,Lon,gravedad,es_fin_de_semana,franja_horaria,distancia_hospital_km
1652329,23,6,11,2024,20,LAUTARO,9,9108,LA ARAUCANÍA,LAUTARO,-38.570602,-72.42033,Grave,1,Noche,3.726
1652330,22,5,11,2024,13,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-29.958808,-71.304563,Sin lesionados,0,Tarde,3.262
1652333,22,5,11,2024,14,ANDACOLLO,4,4103,COQUIMBO,ANDACOLLO,-30.153425,-71.139611,Grave,0,Tarde,9.737
1652337,24,7,11,2024,21,SAN JAVIER,7,7406,MAULE,SAN JAVIER,-35.681632,-71.989049,Sin lesionados,1,Noche,13.348
1652340,22,5,11,2024,15,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-30.129285,-71.365802,Sin lesionados,0,Tarde,13.745
1652349,23,6,11,2024,2,PALMILLA,6,6306,LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,-34.593519,-71.364119,Leve,1,Madrugada,4.615
1652350,22,5,11,2024,8,LA SERENA,4,4101,COQUIMBO,LA SERENA,-29.877463,-71.255744,Sin lesionados,0,Mañana,3.488
1652351,23,6,11,2024,0,COQUIMBO,4,4102,COQUIMBO,COQUIMBO,-29.958808,-71.304563,Grave,1,Madrugada,3.262
1652352,20,3,11,2024,17,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.432324,-71.883277,Leve,0,Tarde,6.844
1652355,21,4,11,2024,14,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.417833,-71.958104,Leve,0,Tarde,1.324
1652363,14,4,11,2024,17,SAN CARLOS,16,16301,ÑUBLE,SAN CARLOS,-36.371487,-71.911809,Sin lesionados,0,Tarde,7.761
1652369,24,7,11,2024,6,ANDACOLLO,4,4103,COQUIMBO,ANDACOLLO,-30.230242,-71.087662,Sin lesionados,1,Mañana,0.343
1652371,4,3,9,2024,15,GRANEROS,6,6106,LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,-34.078087,-70.714104,Sin lesionados,0,Tarde,1.989
1652375,22,5,11,2024,18,SAN NICOLAS,16,16305,ÑUBLE,SAN NICOLÁS,-36.385614,-72.151866,Fatal,0,Noche,12.549
1652381,23,6,11,2024,20,SAN FABIAN,16,16304,ÑUBLE,SAN FABIÁN,-36.528455,-71.587366,Sin lesionados,1,Noche,35.056
1652405,20,3,11,2024,21,SANTA BARBARA,8,8311,BIOBÍO,SANTA BÁRBARA,-37.776757,-72.073805,Leve,0,Noche,13.107
1652421,17,7,11,2024,13,NEGRETE,8,8307,BIOBÍO,NEGRETE,-37.60342,-72.590775,Sin lesionados,1,Tarde,13.102
1652426,24,7,11,2024,13,CURACAUTIN,9,9203,LA ARAUCANÍA,CURACAUTÍN,-38.463436,-71.624128,Leve,1,Tarde,22.224
1652440,11,1,11,2024,9,FUTRONO,14,14202,LOS RÍOS,FUTRONO,-40.172255,-72.256866,Sin lesionados,0,Mañana,11.726
1652442,18,1,11,2024,20,ANGOL,9,9201,LA ARAUCANÍA,ANGOL,-37.836103,-72.706543,Leve,0,Noche,4.269
1652445,25,1,11,2024,19,RENGO,6,6115,LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,-34.393098,-70.867586,Sin lesionados,0,Noche,1.626
1652447,22,5,11,2024,7,NOGALES,5,5506,VALPARAÍSO,NOGALES,-32.727148,-71.212829,Leve,0,Mañana,7.278
1652448,19,2,11,2024,18,ANGOL,9,9201,LA ARAUCANÍA,ANGOL,-39.242678,-72.900276,Grave,0,Noche,23.899
1652454,25,1,11,2024,11,CURACAUTIN,9,9203,LA ARAUCANÍA,CURACAUTÍN,-38.893368,-72.303914,Sin lesionados,0,Mañana,11.448
1652460,4,1,11,2024,0,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.52333,-72.759607,Sin lesionados,0,Madrugada,9.013
1652463,25,1,11,2024,8,CONCEPCION,8,8101,BIOBÍO,CONCEPCIÓN,-36.812712,-72.831359,Leve,0,Mañana,15.356
1652464,24,7,11,2024,12,VILLARRICA,9,9120,LA ARAUCANÍA,VILLARRICA,-39.216912,-72.295156,Leve,1,Tarde,7.456
1652470,23,6,11,2024,20,RENAICO,9,9209,LA ARAUCANÍA,RENAICO,-37.761963,-72.627893,Sin lesionados,1,Noche,3.394
1652471,23,6,11,2024,21,NEGRETE,8,8307,BIOBÍO,NEGRETE,-37.670271,-72.589367,Grave,1,Noche,7.35
1652472,24,7,11,2024,1,ANGOL,9,9201,LA ARAUCANÍA,ANGOL,-37.736308,-72.614165,Sin lesionados,1,Madrugada,0.401
1652477,3,7,11,2024,19,HUALAIHUE,10,10403,LOS LAGOS,HUALAIHUÉ,-41.984029,-72.561193,Sin lesionados,1,Noche,28.786
1652479,7,4,11,2024,18,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.40016,-72.902929,Leve,0,Noche,0.754
1652486,8,5,11,2024,21,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.393813,-72.8968,Sin lesionados,0,Noche,0.832
1652488,10,7,11,2024,3,HUALAIHUE,10,10403,LOS LAGOS,HUALAIHUÉ,-41.953011,-72.452414,Sin lesionados,1,Madrugada,36.019
