fecha,barra_codigo,barra_nombre,version,costo_marginal_usd_mwh
2026-04-01 00:00:00,BELLAVISTA____066,,REAL-DEF,60.65835
2026-04-01 00:00:00,BICENTENARIO__013,BA S/E BICENTENARIO 13.2KV BP1,REAL-DEF,59.144815
2026-04-01 00:00:00,BICENTENARIO__110,BA S/E BICENTENARIO 110KV BP1,REAL-DEF,59.0038875
2026-04-01 00:00:00,BJOSDMNA______012,BA S/E BAJOS DE MENA 15 kV BP1,REAL-DEF,59.251915
2026-04-01 00:00:00,BJOSDMNA______110,BA S/E BAJOS DE MENA 110 kV BP1,REAL-DEF,59.237825
2026-04-01 00:00:00,BOCAMINA_II___220,BA S/E BOCAMINA II JBP [NO_MOSTRAR],REAL-DEF,57.459068
2026-04-01 00:00:00,BOCAMINA______004,BA S/E BOCAMINA CBP [No_Mostrar],REAL-DEF,58.20879
2026-04-01 00:00:00,BOCAMINA______066,BA S/E BOCAMINA BBP [No_Mostrar],REAL-DEF,58.23021
2026-04-01 00:00:00,BOCAMINA______154,BA S/E CENTRAL BOCAMINA I 154KV BP1 [No_Mostrar],REAL-DEF,57.8976275
2026-04-01 00:00:00,BOLERO________220,BA S/E BOLERO 220KV BP,REAL-DEF,60.7330375
2026-04-01 00:00:00,BOLLENAR______013,BA S/E BOLLENAR 13.2KV BP1,REAL-DEF,58.299265
2026-04-01 00:00:00,BOLLENAR______110,BA S/E BOLLENAR 110KV BP1,REAL-DEF,58.25839666666667
2026-04-01 00:00:00,BOMBEO2_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°2 4.16KV,REAL-DEF,61.250234999999996
2026-04-01 00:00:00,BOMBEO2_______220,BA S/E TAP OFF ESTACION DE BOMBEO N°2 220KV [NO_MOSTRAR],REAL-DEF,61.42075333333333
2026-04-01 00:00:00,BOMBEO3_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°3 4.16KV,REAL-DEF,61.727405999999995
2026-04-01 00:00:00,BOMBEO3_______220,BA S/E TAP OFF ESTACION DE BOMBEO N°3 220KV [NO_MOSTRAR],REAL-DEF,61.701474
2026-04-01 00:00:00,BOMBEO4_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°4 4.16KV,REAL-DEF,62.1676525
2026-04-01 00:00:00,BOMBEO4_______220,BA S/E TAP OFF ESTACION DE BOMBEO N°4 220KV [NO_MOSTRAR],REAL-DEF,61.99572499999999
2026-04-01 00:00:00,BOSQUEMAR_____012,BA S/E BOSQUEMAR 12kV BP1,REAL-DEF,56.82096
2026-04-01 00:00:00,BOSQUEMAR_____110,BA S/E BOSQUEMAR 110kV BP1,REAL-DEF,56.8082775
2026-04-01 00:00:00,BRASIL________013,BA S/E BRASIL 12.5KV BP1,REAL-DEF,58.3838175
